fitting number,qty,description
WAS-42,6,"FOR 32"" (812.8) - 120"" (3048.0) DIA ROUND AND RECTANGULAR DUCT"
SAW-6,6,"FOR 4"" (101.6) - 14"" (355.6) EZ JOINTS & 4"" (101.6) - 30"" (762.0) ROUND DUCT"
